body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_pos21	joint_pos22	joint_pos23	joint_pos24	joint_pos25	joint_pos26	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20	joint_vel_21	joint_vel_22	joint_vel_23	joint_vel_24	joint_vel_25	joint_vel_26
-0.645479	1.080767	0.937841	0.092987	-0.006692	-0.008418	0.995609	0.039187	0.104994	-0.392485	0.796430	-0.361475	-0.008184	-0.018856	0.065536	-0.333409	0.680973	-0.350068	0.015780	-0.010082	0.370599	0.183247	-0.469472	-0.405326	-0.118964	-0.073613	0.000000	-0.443151	-0.738721	0.233147	-2.431951	-0.382854	0.518333	0.000000	0.008480	-1.405868	-0.290904	0.190198	0.130216	0.039459	0.035926	-1.342520	0.378693	-0.021732	-0.241183	0.051932	0.633264	-0.096646	-0.506256	-0.112376	0.265533	-0.241040	-0.016877	0.000000	-3.577666	0.525284	6.537599	1.074922	2.068896	-1.162350	0.000000
-0.645266	1.080593	0.937484	0.077770	-0.005707	-0.008684	0.996917	0.039196	0.076555	-0.398036	0.800156	-0.358926	-0.007564	-0.018447	0.038624	-0.325594	0.680640	-0.355078	0.016916	0.002692	0.369193	0.173013	-0.470943	-0.399443	-0.123215	-0.074057	0.000000	-0.519768	-0.725595	0.368311	-2.414100	-0.342450	0.501089	0.000000	0.009902	-1.442256	-0.269937	0.183861	0.135730	0.024471	0.023550	-1.357878	0.400607	-0.016306	-0.246680	0.046379	0.659046	-0.065769	-0.495161	-0.051707	0.325074	-0.210207	-0.028207	0.000000	-3.993368	0.882649	6.776950	0.920641	2.043883	-0.801057	0.000000
-0.645043	1.080735	0.937199	0.062353	-0.004611	-0.008895	0.998004	0.039583	0.047304	-0.403282	0.803784	-0.356046	-0.007205	-0.017914	0.011221	-0.317385	0.680320	-0.359935	0.017635	0.016279	0.367969	0.163441	-0.471540	-0.392323	-0.127373	-0.074742	0.000000	-0.602886	-0.703415	0.504225	-2.395125	-0.301099	0.486291	0.000000	0.012607	-1.529036	-0.218252	0.198281	0.122847	0.034736	0.017185	-1.471916	0.502149	-0.052327	-0.295223	0.052063	0.696640	-0.019754	-0.477541	0.000001	0.413762	-0.248605	-0.059138	0.000000	-4.389380	1.246209	6.631055	1.307207	2.497902	-1.171584	0.000000
-0.645307	1.080969	0.936883	0.046268	-0.002854	-0.008925	0.998885	0.039701	0.015394	-0.406766	0.808087	-0.354012	-0.006174	-0.017759	-0.020252	-0.305508	0.678547	-0.366887	0.018998	0.030557	0.368403	0.153911	-0.470943	-0.382893	-0.133159	-0.076423	0.000000	-0.695343	-0.675747	0.633553	-2.361812	-0.242534	0.454225	0.000000	0.016335	-1.534723	-0.166546	0.155447	0.106164	0.032229	0.009595	-1.492989	0.561554	-0.104405	-0.307914	0.058871	0.736093	0.015579	-0.499498	0.172719	0.454351	-0.258289	-0.068554	0.000000	-4.837590	1.757757	6.749275	1.662743	3.048051	-1.740780	0.000000
-0.645462	1.081225	0.936696	0.030832	-0.001580	-0.009101	0.999482	0.040236	-0.014085	-0.409944	0.810002	-0.351799	-0.005916	-0.017530	-0.048499	-0.294923	0.676144	-0.372251	0.019990	0.045723	0.368592	0.143461	-0.464632	-0.374149	-0.137704	-0.077484	0.000000	-0.796390	-0.633104	0.774196	-2.328615	-0.179177	0.416659	0.000000	0.037718	-1.388713	-0.162847	0.067750	0.107846	-0.004216	0.020389	-1.353774	0.478758	-0.115204	-0.229677	0.032737	0.814475	0.004299	-0.532749	0.447056	0.422981	-0.154664	-0.051011	0.000000	-4.775973	2.264324	6.717704	1.458925	2.940225	-1.676769	0.000000
-0.645449	1.081397	0.936587	0.016571	-0.000731	-0.009471	0.999818	0.041209	-0.040155	-0.413280	0.810797	-0.349698	-0.006343	-0.016944	-0.074403	-0.286358	0.673939	-0.376074	0.020308	0.063136	0.368575	0.132601	-0.453061	-0.365974	-0.139346	-0.078463	0.000000	-0.886382	-0.585174	0.902261	-2.303455	-0.124925	0.387154	0.000000	0.055305	-1.326564	-0.182463	0.029315	0.129454	-0.033786	0.030329	-1.325303	0.423314	-0.126022	-0.178549	0.022028	0.818001	0.020197	-0.538985	0.575546	0.436686	-0.070952	-0.057080	0.000000	-4.314731	2.539881	6.003921	1.134545	2.410324	-1.221200	0.000000
-0.645285	1.081915	0.936622	0.002091	-0.000057	-0.009695	0.999951	0.042449	-0.067148	-0.417243	0.811174	-0.346621	-0.007268	-0.016317	-0.101511	-0.277990	0.671103	-0.379393	0.020871	0.078443	0.369400	0.121901	-0.441610	-0.356682	-0.140542	-0.079767	0.000000	-0.968979	-0.531509	1.014353	-2.283234	-0.082764	0.367811	0.000000	0.077610	-1.517420	-0.227960	0.021470	0.217185	-0.054168	0.032063	-1.495590	0.487858	-0.211631	-0.148651	0.043254	0.702138	0.071894	-0.499110	0.473221	0.512993	-0.137166	-0.096096	0.000000	-4.056467	2.723923	5.149983	1.240247	2.163706	-1.034632	0.000000
-0.645042	1.082747	0.936960	-0.014856	0.000719	-0.009942	0.999840	0.044314	-0.100852	-0.422399	0.811656	-0.341011	-0.008510	-0.015661	-0.134227	-0.266844	0.665473	-0.382021	0.022038	0.091222	0.371451	0.112637	-0.434132	-0.345454	-0.144833	-0.082307	0.000000	-1.048641	-0.476217	1.108261	-2.253845	-0.038377	0.345769	0.000000	0.048923	-1.275487	-0.091538	-0.062366	0.173712	-0.023310	0.000314	-1.259022	0.519592	-0.279747	-0.095402	0.076766	0.879730	0.065662	-0.524658	0.541943	0.545805	-0.314208	-0.157017	0.000000	-3.694726	3.023439	4.614594	1.651889	2.097044	-1.243833	0.000000
-0.645872	1.082121	0.937367	-0.024139	0.001390	-0.010321	0.999654	0.044406	-0.118167	-0.420904	0.808680	-0.339673	-0.008200	-0.016304	-0.151872	-0.257206	0.659913	-0.383209	0.023942	0.113632	0.372026	0.100915	-0.419932	-0.334849	-0.153111	-0.086048	0.000000	-1.116768	-0.410571	1.198936	-2.217158	0.001118	0.318058	0.000000	0.069115	-1.146408	-0.134086	-0.134151	0.205181	-0.034284	0.016521	-1.142968	0.387336	-0.272536	-0.001777	0.075527	0.932465	-0.038125	-0.535389	0.649223	0.452194	-0.500947	-0.165195	0.000000	-2.838633	3.303050	4.339334	1.861686	1.328321	-1.323518	0.000000
-0.645517	1.082787	0.938026	-0.038940	0.000679	-0.010817	0.999183	0.047078	-0.146708	-0.427762	0.806290	-0.332804	-0.009881	-0.015000	-0.179946	-0.251350	0.654572	-0.382092	0.025059	0.128520	0.369926	0.091221	-0.408163	-0.327366	-0.164870	-0.088915	0.000000	-1.162186	-0.344095	1.281834	-2.179377	0.014756	0.292828	0.000000	0.168773	-1.278163	-0.348719	-0.131153	0.319880	-0.091618	0.105580	-1.268962	0.209353	-0.242780	0.094113	0.060954	0.817377	-0.113405	-0.524724	0.790089	0.334763	-0.461417	-0.175257	0.000000	-2.040514	3.196646	3.816917	1.890266	0.313712	-1.177592	0.000000
